ds,y,temp_max,temp_min,precip,humidity,pressure,vis,cloud,uv_index,wind_speed_day,wind_speed_night
2026-02-15,4178,28.0,18.0,0.07,68.0,1017.0,25.0,68.0,5.0,10.7,9.4
2026-02-16,2816,28.0,18.0,0.06,70.0,1017.5,25.0,70.0,5.0,10.3,8.8
2026-02-17,6691,22.0,16.0,0.0,72.0,1018.0,25.0,72.0,3.0,10.2,8.7
2026-02-18,6909,22.0,15.0,0.0,65.0,1016.2,25.0,65.0,5.0,10.5,9.0
2026-02-19,7029,25.0,16.0,0.0,62.0,1015.5,25.0,62.0,5.0,11.0,9.5
2026-02-20,6706,26.0,16.0,0.0,60.0,1015.0,25.0,60.0,6.0,11.4,9.9
2026-02-21,6784,26.0,17.0,0.0,63.0,1015.8,25.0,63.0,6.0,11.6,10.1
2026-02-22,7337,27.0,19.0,0.0,65.0,1016.2,25.0,65.0,6.0,11.7,10.2
2026-02-23,6649,24.0,19.0,0.1,72.0,1018.0,25.0,72.0,3.0,13.4,11.4
2026-02-24,4247,26.0,20.0,0.0,71.0,1017.8,25.0,71.0,5.0,11.5,9.8
2026-02-25,4324,27.0,20.0,0.04,70.0,1017.5,25.0,70.0,5.0,11.8,10.1
2026-02-26,3865,25.0,20.0,1.5,78.0,1019.3,24.7,78.5,2.0,10.1,8.7
2026-02-27,3866,25.0,19.0,0.0,75.0,1018.8,25.0,75.0,2.0,10.1,8.8
2026-02-28,1437,23.0,19.0,20.53,80.0,1017.5,20.5,87.2,2.0,13.9,12.1
2026-03-01,5582,24.0,21.0,9.51,82.0,1019.4,22.9,85.3,2.0,13.3,11.6
2026-03-02,1588,24.0,22.0,62.66,85.0,1013.7,11.2,100.0,2.0,12.3,10.5
2026-03-03,1499,23.0,15.0,55.86,88.0,1015.3,12.7,100.0,2.0,15.5,13.2
2026-03-04,1130,20.0,15.0,10.34,80.0,1018.8,22.7,83.6,3.0,11.7,10.0
2026-03-05,3234,22.0,18.0,5.07,75.0,1018.1,23.9,76.8,3.0,11.3,9.8
2026-03-06,3644,23.0,18.0,0.0,65.0,1016.2,25.0,65.0,6.0,13.6,11.8
2026-03-07,8374,21.0,18.0,0.0,60.0,1015.0,25.0,60.0,6.0,13.5,11.7
2026-03-08,9986,21.0,16.0,0.0,58.0,1014.5,25.0,58.0,6.0,13.9,12.1
2026-03-09,2925,21.0,17.0,0.0,65.0,1016.2,25.0,65.0,3.0,9.5,8.1
2026-03-10,2420,19.0,17.0,0.0,70.0,1017.5,25.0,70.0,2.0,9.7,8.3
2026-03-11,3172,20.0,17.0,0.0,60.0,1015.0,25.0,60.0,6.0,10.0,8.6
2026-03-12,3360,22.0,17.0,0.0,58.0,1014.5,25.0,58.0,6.0,10.3,8.9
2026-03-13,3146,20.0,16.0,0.0,55.0,1013.8,25.0,55.0,6.0,12.5,10.8
2026-03-14,9330,20.0,15.0,0.0,55.0,1013.8,25.0,55.0,6.0,10.8,9.4
2026-03-15,10454,20.0,16.0,0.0,58.0,1014.5,25.0,58.0,6.0,11.0,9.7
2026-03-16,3606,22.0,18.0,0.0,60.0,1015.0,25.0,60.0,6.0,11.0,9.3
2026-03-17,3006,23.0,19.0,0.12,62.0,1015.5,25.0,62.0,5.0,11.0,9.4
2026-03-18,3576,23.0,20.0,0.0,60.0,1015.0,25.0,60.0,6.0,11.3,9.7
2026-03-19,3666,25.0,20.0,0.31,62.0,1015.5,24.9,62.1,6.0,11.9,10.3
2026-03-20,3706,23.0,21.0,1.24,68.0,1016.9,24.7,68.4,5.0,9.8,8.5
2026-03-21,9094,23.0,21.0,0.69,70.0,1017.4,24.8,70.2,5.0,9.8,8.6
2026-03-22,11710,23.0,21.0,0.11,65.0,1016.2,25.0,65.0,6.0,10.1,8.9
2026-03-23,3270,24.0,21.0,0.0,60.0,1015.0,25.0,60.0,6.0,10.0,8.5
2026-03-24,3491,25.0,22.0,0.1,62.0,1015.5,25.0,62.0,6.0,10.3,8.8
2026-03-25,3282,24.0,22.0,0.0,60.0,1015.0,25.0,60.0,6.0,10.3,8.9
2026-03-26,3452,24.0,22.0,0.0,65.0,1016.2,25.0,65.0,5.0,10.7,9.2
2026-03-27,2966,25.0,22.0,3.93,68.0,1016.5,24.1,69.4,5.0,11.2,9.7
2026-03-28,7157,25.0,23.0,0.0,65.0,1016.2,25.0,65.0,6.0,13.2,11.5
2026-03-29,9711,28.0,23.0,0.0,66.0,1016.5,25.0,66.0,7.0,13.6,11.9
2026-03-30,2819,26.0,22.0,5.92,85.0,1020.5,23.7,87.1,2.0,14.0,11.9
2026-03-31,2373,27.0,20.0,2.28,78.0,1019.2,24.5,78.8,3.0,10.0,8.6
2026-04-01,3394,28.0,21.0,0.0,70.0,1017.5,25.0,70.0,7.0,10.1,8.7
2026-04-02,3218,24.0,22.0,0.13,75.0,1018.7,25.0,75.0,3.0,12.1,10.4
2026-04-03,2702,27.0,22.0,4.07,78.0,1019.0,24.1,79.4,4.0,10.7,9.3
2026-04-04,4029,25.0,22.0,72.51,85.0,1012.5,9.0,100.0,2.0,12.8,11.1
2026-04-05,7086,25.0,23.0,24.1,80.0,1017.1,19.7,88.4,2.0,14.6,12.7
2026-04-06,7988,27.0,24.0,0.46,75.0,1018.7,24.9,75.2,4.0,12.7,10.8
2026-04-07,3235,28.0,23.0,0.19,70.0,1017.5,25.0,70.1,6.0,13.1,11.2
2026-04-08,1741,24.0,24.0,0.0,68.0,1017.0,25.0,68.0,4.0,12.9,11.1
2026-04-09,378,29.0,23.0,0.0,65.0,1016.2,25.0,65.0,7.0,13.9,12.0
2026-04-10,2320,29.0,23.0,0.0,62.0,1015.5,25.0,62.0,7.0,14.1,12.2
2026-04-11,9501,27.0,25.0,0.0,68.0,1017.0,25.0,68.0,5.0,9.8,8.6
2026-04-12,10981,29.0,24.0,0.0,60.0,1015.0,25.0,60.0,7.0,10.2,9.0
2026-04-13,3250,30.0,25.0,0.0,62.0,1015.5,25.0,62.0,7.0,9.9,8.4
2026-04-14,3542,29.0,24.0,0.0,60.0,1015.0,25.0,60.0,7.0,12.5,10.7
2026-04-15,1611,29.0,24.0,0.0,58.0,1014.5,25.0,58.0,7.0,10.4,8.9
